K2diss_Anhydrite,K2diss_Calcite,K2diss_Chlorite,K2diss_Dolomite,K2diss_Illite,K2diss_Microcline,Kppt_Calcite,Kppt_Gibbsite,Kppt_Kaolinite,Kppt_Smectite,Kine_Anhydrite,Kine_Calcite,Kine_Chlorite,Kine_Dolomite,Kine_Gibbsite,Kine_Illite,Kine_Kaolinite,Kine_Microcline,Kine_Smectite,%wgt_calcite,%wgt_chlorite
0.0525203108143,0.000154882848404,5.64908433672e-12,5.11765679711e-07,7.26753574439e-12,3.36020977197e-11,8.07660153759e-06,4.93738601938e-08,7.55327144967e-13,1.83961303669e-09,11.6411657945,15.19655105,1375.32743147,13.1198390125,191.387601902,12979.4220707,13417.5883919,15.6245254007,11741.9607178,0.0726943985413,0.00983731347721
0.0084777875,7.72701768434e-05,8.64188963487e-12,2.59018231375e-06,1.50396290834e-11,1.48533825828e-11,2.9279733539e-06,6.41314502809e-08,4.306864276e-13,1.9133585138e-09,18.1144728619,96.1182040132,1327.30113066,95.938663934,937.290950945,1772.21279613,2117.49755685,50.782838894,4211.16412347,0.0739607535885,0.00950568422175
0.0030346843006,6.49968257426e-05,1.36513837929e-11,2.28122448907e-06,1.66646525726e-11,9.15058107281e-12,9.884822745e-07,5.71153628264e-08,7.24732439712e-13,6.11142918885e-09,95.5510692975,54.0845686614,8665.06609164,65.0347206686,74.5957581103,9891.03572936,2150.89185857,22.8130625641,4010.88150664,0.0791413339832,0.0037495404945
0.0222315573617,0.000125196575635,3.85301083054e-12,6.06527379832e-07,2.64349337784e-11,3.66922978697e-11,2.97433437083e-06,1.35489024274e-08,4.24531550265e-13,7.02217100112e-09,11.2427812896,8.22156986417,12810.1560048,28.0061717771,244.42557847,11442.6292742,3151.7376007,49.2485113722,9378.20783074,0.0770292971089,0.00687544112783
0.0605111798832,0.000133321206784,1.46096354069e-11,2.11528439569e-06,2.55315112551e-12,1.38526633434e-11,4.18866341989e-06,5.1514219023e-08,4.89358399314e-13,3.87384421361e-09,2.286849133,23.5732840305,13302.2010257,63.9922336844,36.7536902971,6839.91238889,15011.1099115,5.39878661218,4609.27302129,0.0754463639989,0.00191655396517
0.0552059818287,2.77205504245e-05,1.13188485338e-12,2.68890285137e-06,1.73437706924e-11,2.91307862552e-11,6.20436460566e-07,3.4651003887e-08,1.29518216278e-13,3.3681007847e-09,97.9013318758,67.9974567911,14722.0039047,34.6055212057,976.474253401,5572.52543281,4698.67295263,6.81752544859,3075.92366778,0.0748985761835,0.00910202898725
0.0325861945869,7.06748875756e-05,8.10133074763e-13,1.80464397359e-06,5.56617102074e-12,2.54008884112e-11,3.07683710045e-06,9.80190544465e-08,3.51691514008e-13,2.05681437218e-09,38.3716985878,24.1110413792,309.710402782,31.5016778304,505.677278518,12343.579944,5670.74788652,83.5526953008,6955.83568954,0.0744322008716,0.0105018077054
0.0429657831796,6.96270809274e-05,2.36439005994e-11,2.80480439906e-06,2.60215776549e-11,1.15548208283e-11,1.55071446774e-06,7.24606169559e-08,3.98898158061e-15,8.94295342782e-09,19.520343974,39.3666232912,4972.2955597,50.3441286201,709.575946866,11108.551316,1179.19023982,59.7926606342,6580.30857856,0.0804450052136,0.00378063462004
0.0347143017546,4.15261426334e-05,6.83659667323e-12,2.37542590766e-07,7.22464509107e-12,1.33871891879e-12,2.01545473311e-06,6.26205155978e-08,4.83986054738e-15,6.37019079139e-09,77.4236430297,82.519226079,9166.86569706,19.7582152148,299.772774561,726.834067254,4452.80396211,11.2623399393,9466.07851277,0.0700649350258,0.00606072010656
0.060215472162,0.000148576550804,2.39853991708e-11,2.26547923424e-06,5.06533952788e-13,4.57015163194e-13,8.18430958239e-06,5.97800029939e-09,5.29764876672e-13,2.85722773562e-09,63.6319394375,18.0684419717,8978.80982706,72.2923094631,644.069836019,8586.15294692,14694.0936632,80.7226477848,7672.00455505,0.0755546001552,0.00159379896249
0.00557978722427,0.000109945070255,8.69147397479e-12,2.62800565239e-06,3.17328226643e-11,2.25569350105e-11,6.65876523219e-06,2.4358071935e-08,6.36749324583e-13,8.02489304645e-10,29.6134043321,77.4218351813,9608.77848708,66.2561101054,446.657082858,12758.5779369,13150.027359,34.0969699244,11298.9164229,0.0868229813411,0.00512140514258
0.0557534179926,4.65489537152e-05,1.29940501855e-11,6.91412278482e-07,9.39609904839e-12,8.55790920602e-12,2.79821535619e-06,9.09886417749e-09,1.32813427784e-13,9.31095212078e-09,5.76391998499,47.3506745866,4738.63098229,34.21272911,228.553408163,5831.68273434,5547.64278861,14.1355138011,8552.43785579,0.0745551308597,0.00613540029605
0.00725325251424,2.62327605013e-05,1.7831366047e-12,2.6025652502e-06,1.28831845602e-11,2.97952884978e-12,8.34522276534e-06,5.93121760952e-08,3.80126183455e-13,7.29071345123e-09,69.2710939714,60.776966297,13259.4962726,83.1966763487,234.557604606,1044.28144791,5447.32985866,45.3782030891,13605.4739227,0.0739085280716,0.00854205507357
0.0542916038707,0.000116077147777,1.77490769234e-12,1.55035554396e-06,2.84616398076e-11,1.3142682827e-11,2.81461545151e-06,4.4763466105e-09,4.50902233172e-13,9.28192746218e-09,79.5060939701,87.9895053361,13740.4507357,80.7278271706,179.000720255,3052.03805631,6361.29078973,73.9749416305,4899.11228228,0.076513589019,0.00850972955624
